一一 , 表一個接一個沒有間斷。
有點 , 表程度不高。「有一點」的簡省。
朋友 , 普通名詞。互相熟識或有交情的人。
朋 , 專有名詞。姓。
朋 , 普通名詞。互相熟識或有交情的人。
服 , 以口食用藥物，吃藥。
服 , 依法律所規定，擔任特定職責，或履行特定義務，或接受刑罰。
服務 , 在特定機構中擔任職務或使命。
服務 , 提供特定對象所需並為其謀福利。
服從 , 遵守上級或較有權力的人具強制力的要求。
服 , 普通名詞。接尾詞。通指用來穿在身上，有遮蔽身體或禦寒功能的製品。
服 , 進行服務活動。
服 , 順從、欽佩特定對象或特定決定。
服飾 , 衣服和身上配戴之裝飾品(如圍巾、項鍊、鞋包等)的總稱。
朕 , 代指皇帝自己。
朗 , 專有名詞。姓。
朗 , 形容天空沒有烏雲遮蓋而光線充足明亮。
朗 , 形容有精神且讓人感覺開朗的。
朗 , 形容比喻狀況明顯清楚，通常有趨於好轉的意思。
朗 , 形容身體健康的。
朗 , 清晰且有韻律地唸出文章內容。
朗 , 表聲音清楚可傳遞到遠處。
望 , 前述對象所在的位置正面朝向後述對象。
望 , 普通名詞。農曆每月十五日，地球上所看見的滿月月相為「望」。
望 , 朝著後述對象或方向看。
望穿秋水 , 形容深切的期待。
朝代 , 普通名詞。同一家族統治的時代。
朝 , 前述對象所在的位置正面朝向後述對象。
朝廷 , 地方詞。君主接受朝見或處理國家大事的所在的位置。
朝廷 , 普通名詞。比喻君主或君主統治的政府。
朝拜 , 信徒向神佛行禮。
朝拜 , 臣屬上朝時向君主行禮。
朝 , 普通名詞。中央統治政權。
朝 , 普通名詞。同一家族統治的時代。
朝 , 普通名詞。君主聽政、辦事的地方。
朝 , 普通名詞。地球自轉一周所需的時間。
朝 , 普通名詞。特定君王的統治時期。
朝野 , 普通名詞。執政黨與在野黨。
朝野 , 普通名詞。政府與民間。
期 , 希望並等待後述事件實現。
期待 , 預期並等待後述事件發生。
期望 , 希望並等待後述事件實現。
期望 , 普通名詞。對對象未來發展能達到目標的希望。
期求 , 形容想要滿足特定需求的想法。
期盼 , 希望並等待後述事件實現。
期 , 計算具有特定身份或擔任特定職務期間的單位。
期 , 計算課程開課次數的單位。
期許 , 希望並等待後述事件實現。
期許 , 普通名詞。對特定事件實現目標的希望。
期間 , 普通名詞。一段時間。
木 , 專有名詞。太陽系八大行星中的第五顆星。
木 , 形容比喻物體表面的觸感不光滑。
木 , 形容比喻聲音不響亮的。
木 , 形容比喻食物口感硬澀，缺乏彈性。
木 , 形容神經受到過度刺激而暫時失去作用。
木星 , 專有名詞。太陽系八大行星中的第五顆星。
木 , 普通名詞。五行之一，由水而生，可以剋土，中國將其視為構成萬物的基本元素之一。
木 , 普通名詞。從樹上被砍下或截斷的木頭，通常被用來當柴或建築材料。
木 , 普通名詞。木本植物類的通稱，多年生植物，主要由樹幹及樹葉組成。
木材 , 普通名詞。從樹上被砍下或截斷，加工過後用來製作特定器物或建築物的木頭。
木蘭 , 專有名詞。中國古代女扮男裝，代父從軍的孝女。
木蘭 , 普通名詞。初春時，花先葉而開，花瓣六片，多生長於山地，可供觀賞，花蕾可入藥。
木蘭 , 普通名詞。專指女子。
未來 , 時間詞。在時間參考點之後的時段。
未來 , 普通名詞。比喻時間參考點之後特定事件可能會有的正面發展。
未定 , 形容前述對象尚未確定。
未定 , 形容前述對象還沒穩定。
未必 , 形容事件帶不確定性。
未 , 普通名詞。地支的第八位。
未曾 , 表後述事件從過去到現在都沒有發生過。
未知 , 形容還不知道的。
未知 , 普通名詞。還不知道的情形。
未 , 表否定事件的發生或狀態。
未遂 , 已著手做特定事件但不成功，通常用於法律。
末 , 事物的最後或結束的部份。
末 , 普通名詞。中國傳統戲曲角色之一，為次要的中年男性角色。常用接尾詞。
末 , 普通名詞。極細的小顆粒。
末 , 普通名詞。物體的尾端較細的一頭。
本人 , 代指當事人。
本人 , 代指說話者。
本來 , 表沒有經過改變的，或者改變之前的。
本來 , 表理所當然。
本 , 將特定對象作為言論或行動的基礎。
本 , 普通名詞。比喻事件發展的基礎。常用「…之本」。
本 , 普通名詞。比喻達成特定事件可以憑藉的條件。
本 , 普通名詞。貨物的生產運輸過程中所花費的金錢。
本 , 比喻心中存有特定態度或想法。
本 , 表沒有經過改變的，或者改變之前的。
本 , 計算裝訂成的書冊的單位。
本身 , 代指前述對象，強調非別的對象。
本金 , 普通名詞。作為計算利息基準的金錢。
本金 , 普通名詞。用於營利或其他投資事業的金錢。
本錢 , 普通名詞。作為計算利息基準的金錢。
本錢 , 普通名詞。可以用於營利或其他事業的資金。
本錢 , 普通名詞。比喻達成特定事件可以憑藉的條件。
本錢 , 普通名詞。貨物的生產運輸過程中所花費的金錢。
朱元璋 , 專有名詞。明太祖，為明朝開國皇帝，年號洪武。
朱 , 專有名詞。姓。
朱 , 專有名詞。宋代理學大家，字元晦，後改字仲晦。「朱熹」的縮寫。
朱 , 形容顏色為紅的，像鮮血、蘋果、春聯的。
朱 , 普通名詞。在光譜一端的顏色，後面緊接橙色，像鮮血、蘋果、春聯的顏色。
朱紅 , 普通名詞。像硃砂一樣較暗的紅色。
朵 , 計算花的單位。
朵 , 計算雲彩或團狀物的單位。
朽 , 形容人體老化。
朽 , 形容含有纖維的物質因長時期的風吹、雨打或微生物的侵害而毀壞，通常是木材。
朽 , 形容比喻思想或制度敗壞。
杆 , 普通名詞。呈細長圓柱狀的長條器具，長度通常長於成人的身高。常用接尾詞。
杆 , 普通名詞。在撐竿跳或跳高比賽中用來決定選手跳過的高度的橫竿。常用接尾詞。
杆 , 普通名詞。在撐竿跳比賽中所使用的有彈性的細長棍子。常用接尾詞。
杆 , 普通名詞。打撞球時一次的擊球動作。
杆 , 普通名詞。打高爾夫球時一次的揮擊動作。
杆 , 普通名詞。用來打撞球的杆子。常用接尾詞。
杆 , 普通名詞。用來打高爾夫球的杆子。常用接尾詞。
杆 , 普通名詞。用來釣魚的竿子，一端繫線，線端有鉤。
杆 , 普通名詞。釣魚時一次的拋竿動作。
杆 , 普通名詞。高爾夫球時一次的記分單位。
杆 , 計算細長圓柱狀的長條器具的單位。
杉 , 普通名詞。杉科杉木屬植物，常綠喬木，木材可供建築和製造器具用。常用接尾詞。
李子 , 普通名詞。李樹果實所醃漬成的蜜餞。
李子 , 普通名詞。李樹的果實。
李子 , 普通名詞。落葉喬木，葉為倒披針形，在三、四月開花，白色花瓣五片，果實為橢圓形，味酸可食，可醃製成多種蜜餞。
李 , 專有名詞。姓。
李 , 普通名詞。李樹果實所醃漬成的蜜餞。
李 , 普通名詞。李樹的果實。
李 , 普通名詞。落葉喬木，葉為倒披針形，在三、四月開花，白色花瓣五片，果實為橢圓形，味酸可食，可醃製成多種蜜餞。
李登輝 , 專有名詞。臺灣當代政治人物，曾任中華民國總統（1988-2000）。
李白 , 專有名詞。中國唐代著名詩人，字太白。
李白 , 專有名詞。李白的作品。
李遠哲 , 專有名詞。臺灣當代科學家，西元1986年獲得諾貝爾化學獎。
杏 , 普通名詞。杏樹的果實。常用接尾詞。
杏 , 普通名詞。植物名，薔薇科櫻屬，落葉喬木，果實扁圓、肥厚、味稍酸，核裡有仁。
材料 , 普通名詞。可供參考的書面內容。
材料 , 普通名詞。大學中教授材料知識的教學研究單位。材料系所的簡省。
材料 , 普通名詞。寫作或講話的題材。
材料 , 普通名詞。比喻具有進行特定事件的特質。
材料 , 普通名詞。用來製造特定物品的物質。
材料 , 普通名詞。研究材料的特性與應用的知識。
材 , 普通名詞。埋葬時裝置死者的容器。
材 , 普通名詞。天賦的能力及其發展出來的才能。
材 , 普通名詞。從樹上被砍下或截斷的木頭，通常被用來當柴或建築材料。
材 , 普通名詞。接尾詞。具有前述特質的人。
材 , 普通名詞。有天賦能力的或經過良好訓練的人。
材 , 普通名詞。木材體積的單位，一材等於一百立方寸。
材 , 普通名詞。用來製造特定物品的物質。常用接尾詞。
材 , 普通名詞。面積的單位，一材約等於0.0278坪。
材 , 計算木材體積的單位，一材等於一百立方寸。
材 , 計算面積的單位，一材約等於0.0278坪。
村 , 地方詞。地方政府行政區域之一，在鄰之上，與里平行。常用接尾詞。
村 , 地方詞。非都會區的人們聚居的地方。
村 , 形容粗野缺乏文化素養的。
村 , 普通名詞。接尾詞。將前述地區視為一個整體的生活空間。
村 , 普通名詞。接尾詞。有前述特色的區域。
村莊 , 地方詞。非都會區的人們聚居的地方。
杓 , 普通名詞。一端有凹槽的有柄器具，用來舀取飲食食用。
杓 , 普通名詞。一端略呈半球形的有柄器具，用來舀取流體食物。
杓 , 計算勺子容裝物的單位。
杖 , 古代刑罰之一，以棍子或木板打犯人。
杖 , 普通名詞。可支撐身體，用來輔助行走的長條器具。常用接尾詞。
杖 , 普通名詞。呈圓柱狀的長條器具。常用接尾詞。
杜 , 專有名詞。姓。
杜甫 , 專有名詞。唐代寫實派詩人，字子美，號少陵。
杜甫 , 專有名詞。杜甫的作品。
杜鵑 , 普通名詞。常綠或落葉灌木，葉子橢圓形，春夏開花，有紅、紫紅、白等色。
杜鵑 , 普通名詞。鵑形目，口大尾羽長，嘴黑色，上嘴末端稍曲，身體灰褐色，尾巴有白色橫斑，胸腹部有黑色橫條紋，初夏時常晝夜不停地叫。
杜鵑花 , 杜鵑所開的花。
束 , 以條狀物纏繞並固定物體。
束 , 普通名詞。接尾詞。將條狀物綑綁或聚攏在一起而成的物體。
束 , 普通名詞。比喻呈線狀的光線。
束 , 計算成束物體的單位。
杭 , 地方詞。中國城市名，浙江省的省會，位於錢塘江下游北岸。「杭州」的簡省。
杭 , 專有名詞。姓。
杭 , 專有名詞。治理杭州的地方政府。「杭州」的縮寫。
杭 , 普通名詞。杭州的文化。「杭州」的簡省。
杯子 , 普通名詞。飲用的柱狀器皿。
杯 , 擲筊時用來和神明溝通，表達神明旨意的半月形器具。
杯 , 普通名詞。接尾詞。特定競賽中頒給優勝者的獎盃，通常是運動競賽。
杯 , 普通名詞。接尾詞。特定競賽的名稱，通常是運動競賽。
杯 , 計算杯裝物的單位。
東亞 , 地方詞。亞洲東部地區。
東亞 , 普通名詞。東亞的文化。
東京 , 地方詞。北宋時對開封的稱呼，今河南省省會，位於黃河南岸，為中國五大古都之一。
東京 , 地方詞。日本的首都，位臨東京灣，為日本政治、經濟與交通中心。
東京 , 地方詞。漢朝對洛陽的稱呼，位於今河南省西部的洛陽盆地內。
東京 , 普通名詞。東京的文化。
東 , 位置詞。不確定的位置。常用「東…西…」。
東 , 位置詞。指南針指向90度的方位。
東北 , 位置詞。指南針指向東方與北方中間的方位，45度。
東北 , 位置詞。空間範圍內東北邊的區域。
東北 , 地方詞。通指中國大陸東北地區。
東北 , 普通名詞。東北的文化。
東區 , 地方詞。空間範圍內東邊的區域。
東區 , 普通名詞。位於東邊的相關機構。
東南亞 , 地方詞。亞洲東南部地區。
東南亞 , 普通名詞。東南亞的文化。
東南 , 位置詞。空間範圍內東南邊的區域。
東南 , 指南針指向東方與南方中間的方位，135度。
東吳 , 地方詞。東吳大學的建築物及建築物所在的位置。「東吳大學」的簡省。
東吳 , 專有名詞。三國時孫權所建立的吳國。
東吳 , 專有名詞。臺灣私立大學之一，位於臺北市外雙溪。「東吳大學」的縮寫。
東德 , 地方詞。國名，柏林圍牆以西的國家，在西元1949年獨立，已於西元1990年與西德統一成為現在的德國。
東德 , 專有名詞。治理東德的政府。
東德 , 普通名詞。東德的文化。
東方 , 位置詞。指南針指向90度的方位。
東方 , 地方詞。東方技術學院的建築物及建築物所在的位置。「東方技術學院」的縮寫。
東方 , 專有名詞。臺灣出版社之一，社長為林呈祿先生，主要出版兒童及青少年讀物。「東方出版社」的縮寫。
東方 , 專有名詞。臺灣私立技術學院之一，位於高雄縣湖內鄉。「東方技術學院」的縮寫。
東方 , 形容形式、風格上屬於亞洲國家或來自於亞洲國家的。
東方 , 普通名詞。亞洲國家。
東 , 普通名詞。亞洲國家。
東 , 普通名詞。麻將中的牌面，為四種風牌之一。
東 , 表位置或方向一直變換。常用「東…西…」。
東 , 表反覆。常用「東…西…」。
東西 , 位置詞。多個不確定方向的位置。
東西 , 普通名詞。亞洲國家和歐美國家。
東西 , 普通名詞。具有前述負面特質的人，通常用於罵人。
東西 , 普通名詞。具體存在的實體對象。
東西 , 普通名詞。抽象事件。
東西 , 表以說話者為參考點，由右到左或由左到右的方向。
東西 , 表從東邊到西邊，用於計算距離。
松 , 專有名詞。姓。
松 , 普通名詞。松科植物的通稱，一般為常綠喬木，樹幹聳直，皮為鱗狀，葉如針，結毬果。常用接尾詞。
板 , 地方詞。市名，位於台北縣內。「板橋」的簡省。
板 , 形容比喻特定對象缺乏變化而單調的。
板 , 普通名詞。中國戲曲中的強拍。
板 , 普通名詞。中國音樂的打擊樂器之一。
板 , 普通名詞。工業生產中可作為標準的固定樣式。
板 , 普通名詞。扁平狀且材質較硬的物體。常用接尾詞。
板 , 普通名詞。樂曲的速度。
板 , 普通名詞。比賽中對射籃未盡且未落地前的球，重新取得控制權。「籃板球」的簡省。
板 , 普通名詞。為了傳遞或公告訊息而設置的板狀物。常用接尾詞。
板 , 普通名詞。用來裝置籃框的板狀物。「籃板」的簡省。
板 , 普通名詞。網路上的討論區，通常劃分不同的主題，讓使用者表達意見，進行討論。常用接尾詞。
板橋 , 地方詞。市名，位在臺北縣內。
板橋 , 專有名詞。指「板橋水庫」，位於河南省舞陽縣。
板橋 , 普通名詞。板橋的文化。
板 , 比喻做出嚴肅或不高興的表情。
板 , 計算接受處罰而被板狀物抽打次數的單位。
析 , 將整體事物分成幾部份，並找出這些部份的屬性與其彼此間的關係。
析 , 專有名詞。姓。　
枕 , 地理位置與後述地點相鄰。
枕 , 將前述物體放在後述物體下，像枕頭一樣起支撐作用。
枕 , 將頭靠在特定物體上，當枕頭使用。
枕 , 專有名詞。姓。
枕 , 普通名詞。具有支撐身體特定部位作用的寢具或軟墊。
林 , 地方詞。眾多樹木生長在一起的地方。
林 , 專有名詞。姓。
林 , 普通名詞。在同一區域生長的眾多樹木的集合體。常用接尾詞。
林 , 普通名詞。接尾詞。比喻大量前述對象聚集在特定地點所形成的集合體。
林 , 普通名詞。比喻符合前述標準且具有共同性質的對象的集合體。
林 , 普通名詞。開發管理森林資源的產業。
林語堂 , 專有名詞。林語堂的作品。
林語堂 , 專有名詞。清末民初文學家，提倡幽默文學。
枚 , 專有名詞。姓。
枚 , 計算可被發射的飛行物的單位。
枚 , 計算天體的單位。
枚 , 計算立體橢圓形物品的單位。
枚 , 計算較小扁平狀物品的單位。
果 , 專有名詞。姓。
果 , 形容食品以植物果實為主要原料所製成的。
果 , 普通名詞。事物經發展變化後的最後狀況。
果 , 普通名詞。在善惡循環的觀念下，事物因特定原因而發展出的最後狀況。
果 , 普通名詞。植物所長出的果實。常用接尾詞。
果然 , 表結果與預期一樣。
果真 , 表如果後述事件實現。
果真 , 表結果與預期一樣。
果 , 關聯連接詞。連接假設條件。
枝 , 普通名詞。樹幹從旁生出的枝條。
枝 , 計算細長物體的單位。
枯 , 形容土地乾燥缺乏水份的。
枯 , 形容植物因失去水份而乾燥萎縮，或失去生機。
枯 , 形容植物失去水份而變得乾燥萎縮，或失去生機。
枯 , 形容比喻人的外貌乾瘦，沒有生命力。
枯 , 形容比喻器官表面因體液分泌不足而缺乏滋潤。
枯 , 形容水體所在的空間裡已經沒有水了。
枯 , 形容水體的水量少，水位低。
枯 , 形容水體的水量變少，水位降低。
枯 , 普通名詞。接尾詞。油料作物經榨油後剩餘的部份。
枯竭 , 形容比喻前述對象減少到幾乎沒有剩下。
枯竭 , 形容水體的水量變少、水位降低。
枯 , 表只做後述事件且沒有趣味。
架 , 事件名詞。互相爭鬥的事件。
架 , 在對方沒有抑制或反對的情況下，支撐對方。
架 , 將特定材料架起，組合成特定傢俱或建築物。
架 , 普通名詞。具支撐作用並放置物品的結構體。常用接尾詞。
架空 , 比喻失去基礎或功能減弱。
架空 , 比喻暗中使對象失去實權，空留名義。
架空 , 物體底部因有支撐而與地面沒有接觸。
架 , 計量飛行器的單位。
柄 , 掌握控制特定事件。
柄 , 普通名詞。接尾詞。可以執行控制、指揮或影響他人或事件發展的強制力量。
柄 , 普通名詞。植物花葉和枝莖相連的部位。
柄 , 普通名詞。比喻特定對象可被人拿來威脅或攻擊的言語或行為。常用接尾詞。
柄 , 普通名詞。特定器具上可供手持的長條部位。常用接尾詞。
柄 , 普通名詞。計算有柄的器具的單位。
柏 , 專有名詞。姓。
柏 , 普通名詞。植物名，常綠喬木，性耐寒，葉小、呈鱗片狀，果實球形。常用接尾詞。
某些 , 代稱不指名的複數對象。
某 , 代指沒有指名的後述對象。
某 , 普通名詞。太太，老婆。
某某 , 代指沒有指名的後述對象。
某某 , 專有名詞。不特定的舉例對象。
柒 , 序數。順序排在第七。
柒 , 數目字。整數，為六加一的和。
染 , 使物品吸收天然或合成的有色物質，而改變物品的顏色。
染 , 受到特定對象的影響而產生類似變化。
染 , 特定疾病產生在特定生物體上。
染 , 用染劑改變頭髮的顏色。
染色 , 使物品吸收天然或合成的有色物質，而改變物品的顏色。
柔 , 使後述身體部位觸感變得柔軟。
柔 , 形容光線不刺眼，令人感覺舒服的。
柔 , 形容比喻個性溫和，不容易與人起衝突。
柔 , 形容比喻動作力道不外顯。
柔 , 形容物體的觸感軟，令人感覺舒服的。
柔 , 形容聲音音調平緩，音質優美。
柔 , 形容視覺上令人感覺舒服，而沒有強烈的線條、顏色或其他對比。
柚 , 普通名詞。柚樹的果實。常用接尾詞。
柚 , 普通名詞。植物名，雲香科柑屬，常綠喬木，葉大而厚，花白色，果實球形或梨形，果皮淡黃或黃綠色，果肉可食用。常用接尾詞。
查 , 在工具書中找資料。
查 , 檢驗查證或尋找後述有問題的事物。
查 , 為了解事件而收集資料。
查獲 , 經調查後而獲得違法的事證。
查詢 , 調查詢問。
柯 , 專有名詞。姓。
柯 , 普通名詞。樹枝。
柯 , 普通名詞。殼斗科石櫟屬植物的通稱，夏季開花，雌雄同株。常用接尾詞。
柱 , 普通名詞。中國樂器琴瑟中用來繫弦的木條。
柱 , 普通名詞。以柱為形象製成的人造物。
柱 , 普通名詞。前述對象聚集而形成的柱狀集合體。
柱 , 普通名詞。建築物中用來支撐該建築物的垂直長型條狀物。
柱 , 計算柱狀體的單位。
柳 , 專有名詞。中國天文學的星宿，為南方朱雀之一。
柳 , 專有名詞。唐代文學家、思想家，字子厚，唐宋八大家之一，和韓愈同為古文運動的領導人。「柳宗元」的縮寫。
柳 , 專有名詞。唐代書法家，字誠懸，書法習自顏真卿，更加遒勁豐潤，世稱「柳體」。「柳公權」的縮寫。
柳 , 專有名詞。柳公權的作品。
柳 , 專有名詞。柳宗元的作品。
柳 , 普通名詞。接尾詞。切成細長塊肉類食材。
柳 , 普通名詞。楊柳科柳屬植物，落葉喬木，樹枝細長，柔軟下垂，花密生呈穗狀，成熟時柳絮飛散如雪。
柳 , 暫時量詞。計算形狀像柳枝一樣纖細柔軟的腰的單位。
柳 , 暫時量詞。計算形狀像柳葉一樣細長彎曲的物體的單位。
柴 , 專有名詞。19世紀浪漫時期的俄國作曲家。「柴可夫斯基」的縮寫。
柴 , 形容對特定對象的評價是負面的。
柴 , 形容比喻動作或反應不靈活的。
柴 , 形容比喻身體瘦而無肉的。
柴 , 形容比喻食物口感硬澀，缺乏彈性。
柴 , 普通名詞。供燃燒用的木材。
校 , 依照特定標準檢查後述對象。
校園 , 地方詞。學校範圍內所有的地面及建築物。
校園 , 形容只與學校相關的。
校 , 地方詞。學校所在的地方及學校的建築物。「學校」的簡省。
校 , 專有名詞。姓。
校方 , 普通名詞。正規學校體系中的行政組織或領導階層。
校 , 普通名詞。提供授課與學習的正規教育機構。「學校」的簡省。
校 , 普通名詞。軍官軍階中的一級，在將之下，尉之上。
校長 , 普通名詞。學校系統中的領導人。
栩栩如生 , 形容逼真而生動。
株 , 普通名詞。植物的整體，包括根、莖、葉等。
株 , 計算花草樹木的單位。
核准 , 有權力的機構或人經審查後批准。
核定 , 有權力的機構或人經審查後決定。
核心 , 普通名詞。果實內保護果仁的堅硬外殼。
核心 , 普通名詞。核子反應器中放置燃料和進行核分裂鏈反應的地方。
核心 , 普通名詞。比喻特定對象的重要核心部份。
核心 , 普通名詞。通指物體的中心。
核 , 普通名詞。「原子核」的簡省。
核 , 普通名詞。果實內保護果仁的堅硬外殼。
核 , 有權力的機構或人經審查後批准。
核 , 核對。
根據 , 將特定對象作為言論或行動的基礎。
根據 , 引介遵循的原則。
根據 , 普通名詞。事件遵循的基礎。
根 , 普通名詞。佛教用語，指感覺器官的機能，或認識外界的能力。
根 , 普通名詞。植物的營養器官之ㄧ，植物的最底部，有吸收養分的功能，通常長在土裡。
根本 , 形容基本的。
根本 , 表徹底。
根 , 計算細長物品的單位，通常質料較硬或有一定長度。典型後接名詞「弦」。
根 , 計算長圓柱狀物體的單位。
格 , 地方詞。國名，位於中亞高加索地區，首都為第比利斯，西元1991年4月9日脫離前蘇聯正式獨立。「格魯吉亞」的簡省。
格 , 地方詞。國名，位於加勒比海東邊、大西洋西邊，為小安地列斯群島之一，首都為聖喬治。「格瑞那達」的簡省。
格外 , 表強調程度超過平常的範圍。
格 , 普通名詞。兩組互相垂直的平行線所形成的圖案。常用接尾詞。
格 , 普通名詞。接尾詞。修辭的方法。
格 , 普通名詞。接尾詞。用來放置物品的結構體內部空間所區隔出的較小的空間。
格 , 普通名詞。比喻一個影像畫面。
格 , 普通名詞。比喻人的品格與德行。
格 , 普通名詞。比喻進行特定事件所應具備的條件或標準。
格 , 普通名詞。特定語言中的一種語法範疇，藉由形態的變化來表示名詞、代詞或形容詞在語言結構中和其他詞彙間的語法關係。常用接尾詞。
格格不入 , 與周遭對象有衝突不相合。
格格不入 , 與周遭環境不搭配。
格 , 計算以可以被填充的格子代表計量電器電力或訊號的單位。
格 , 計算以指針所指的儀表上的刻度作為測量對象的單位。
格 , 計算容器上的刻度作為測量容積的單位。
格 , 計算特定地點有區隔的較小的空間的單位。
格 , 計算用來放置物品的結構體內部空間所區隔出的較小的空間的單位。
格 , 計算由兩對平行線相交所圍成的方形空間的單位。
格 , 阻止特定對象的前進。
栽 , 將毛依照特定排列插在特定物體上。
栽 , 將種子或成株的植物埋下使其生長，通常是在土裡。
栽 , 普通名詞。接尾詞。人為種植、擺放的植物，主要功能之一為美觀。
栽 , 普通名詞。接尾詞。剛長出來，供移植用的植株。
栽 , 比喻將罪名或負面名稱加到特定對象身上。
栽 , 比喻物體受外力影響而落到低處。
栽 , 比喻犯錯或遭遇困境。
栽 , 比喻開始接觸後述領域並投入心力。
栽 , 身體失去平衡而改變姿態或落到低處。
桂 , 地方詞。中國省名，位於廣東省、湖南省和貴州省之間的區域。「廣西省」的簡稱。
桂 , 普通名詞。廣西的文化。
桂 , 普通名詞。植物名，木犀科木犀屬，灌木或小喬木，葉橢圓形或長橢圓狀披針形，花白色或淡黃色。常用接尾詞。
桃園縣 , 地方詞。位於臺灣西北部，介於臺北縣和新竹縣之間的縣。
桃 , 地方詞。位於臺灣北部，介於臺北縣、新竹縣、宜蘭縣之間的地區。「桃園」的縮寫。
桃 , 專有名詞。姓。
桃 , 普通名詞。接尾詞。以桃為形象製成的人造物。
桃 , 普通名詞。桃樹的果實。常用接尾詞。
桃 , 普通名詞。落葉小喬木，葉橢圓而長，春初開花，花可供觀賞，果實通常呈心形，多汁可口。常用接尾詞。
桅 , 普通名詞。船上用來懸掛、支撐船帆的垂直長杆。
框 , 將框固定在物品的外緣以支撐或保護。
框 , 普通名詞。以將球射入固定空間為得分標準的球類比賽的得分範圍。
框 , 普通名詞。固定在物品的外緣用以支撐或保護該物品的部件。常用接尾詞。
框 , 普通名詞。嵌在牆上用來安裝門窗的空洞中的支架。常用接尾詞。
框 , 普通名詞。桶狀物開口的邊緣。
框 , 普通名詞。比喻使人的想法或行為沒有辦法自由發展的限制。
框 , 普通名詞。由固定形狀的邊界所圍成的空間。常用接尾詞。
框 , 比喻使人的想法或行為沒有辦法自由發展。
框 , 用標誌或圖案將特定對象的邊界標示出來。
案 , 引介判斷的標準或條件。
案 , 普通名詞。中國古代進食用的木製托盤。
案 , 普通名詞。牽涉到法律的犯罪事件。常用接尾詞。
案 , 普通名詞。經正式登記、具有法律效力的紀錄。
案 , 普通名詞。被提出的議題或計畫。
案 , 普通名詞。長方形的桌子。
桌 , 普通名詞。以桌為單位的人所參與的遊戲的單位。
桌 , 普通名詞。在一水平面的物體下有柱子支撐，可在水平面上工作或放置物品的家具。常用接尾詞。
桌 , 普通名詞。成桌的人的單位。
桌 , 計算以桌為單位的人所參與的遊戲的單位。
桌 , 計算成桌物品的單位。
桌 , 計算成桌的人的單位。
桌 , 計算菜餚、酒席等的單位。
桑 , 專有名詞。姓。
桶 , 普通名詞。圓柱型容器，通常體積較大。常用接尾詞。
桶 , 計算桶裝物品的單位。
桿 , 普通名詞。呈細長圓柱狀的長條器具，長度通常長於成人的身高。常用接尾詞。
桿 , 普通名詞。在撐竿跳或跳高比賽中用來決定選手跳過的高度的橫竿。常用接尾詞。
桿 , 普通名詞。在撐竿跳比賽中所使用的有彈性的細長棍子。常用接尾詞。
桿 , 普通名詞。打撞球時一次的擊球動作。
桿 , 普通名詞。打高爾夫球時一次的揮擊動作。
桿 , 普通名詞。用來打撞球的杆子。常用接尾詞。
桿 , 普通名詞。用來打高爾夫球的杆子。常用接尾詞。
桿 , 普通名詞。用來釣魚的竿子，一端繫線，線端有鉤。
桿 , 普通名詞。釣魚時一次的拋竿動作。
桿 , 普通名詞。高爾夫球時一次的記分單位。
桿 , 用短棍來回碾麵團或黏土，使其變平、變薄。
桿 , 計算細長圓柱狀的長條器具的單位。
梁 , 專有名詞。姓。
梁 , 專有名詞。後梁的國號或政權。
梁 , 專有名詞。梁朝的國號或政權。
梁山伯 , 專有名詞。中國民間傳說「梁山伯與祝英台」中的男主角。
梁山泊 , 地方詞。中國章回小說「水滸傳」中故事發生的地點。
梁山泊 , 普通名詞。中國章回小說「水滸傳」中一百零八條好漢。
梁 , 時間詞。中國朝代名，五代之一，西元907年至西元923年，由朱全忠所建。
梁 , 時間詞。中國朝代名，南朝之一，西元502年至西元557年，由蕭衍所建。
梁 , 普通名詞。建築物中用來支撐該建築物的水平長型條狀物。
梁 , 普通名詞。接尾詞。物體中央突起呈長條狀的部份。
梁 , 普通名詞。搭建在水面上連接兩岸以供人車通行的建築物。
梁 , 普通名詞。比喻在特定事件中最重要的角色。常與「挑」連用。
梅子 , 普通名詞。梅樹果實所做醃製成的蜜餞。
梅子 , 普通名詞。梅樹的果實。
梅 , 專有名詞。姓。
梅 , 普通名詞。梅樹果實所醃漬成的蜜餞。
梅 , 普通名詞。梅樹的果實。
梅 , 普通名詞。落葉喬木，葉卵形，早春開花，花瓣五片，有粉紅、白、紅等顏色，果實球形，味酸可食，可醃製成多種蜜餞。常用接尾詞。
梅 , 普通名詞。麻將中的牌面，為四種花牌之一。
梅花 , 普通名詞。梅樹或梅樹的花。
梗 , 挺直脖子或背脊。
梗 , 普通名詞。比喻新奇有趣能引起他人注意的內容。
梗 , 普通名詞。比喻說話或演出時刻意安排希望讓聽眾覺得好笑的內容。
梗 , 普通名詞。特定植物的枝或莖。常用接尾詞。
梗 , 比喻特定事件無法順利進行。
梗 , 物體困在生物體內的特定通道中無法移動。
條 , 普通名詞。以布為主要材質的衣物。
條 , 普通名詞。以布為主要材質的衣物的單位。
條 , 普通名詞。以條列式呈現出的內容。
條 , 普通名詞。形狀細而長的物體。常用接尾詞。
條 , 普通名詞。形狀細而長的物體的單位。
條 , 普通名詞。麻將中的牌面，為序數牌之一。
條約 , 普通名詞。國家與國家之間簽訂的合約。
條 , 計算人的心思意念的單位，常與「心」連用。
條 , 計算以布為主要材質的衣物的單位。
